Arrondissements,Hopitaux,metro,bus,rer,stationautolib,stattionvelib,etablissement,Prixmetrecarree
7,4,4,21,1,16,29,22,11070
7,4,4,21,1,16,29,22,10860
7,4,4,21,1,16,29,22,10810
7,4,4,21,1,16,29,22,10960
7,4,4,21,1,16,29,22,10350
7,4,4,21,1,16,29,22,11010
7,4,4,21,1,16,29,22,11060
7,4,4,21,1,16,29,22,11070
7,4,4,21,1,16,29,22,11060
7,4,4,21,1,16,29,22,11430
7,4,4,21,1,16,29,22,11100
7,4,4,21,1,16,29,22,11240
7,4,4,21,1,16,29,22,10980
7,4,4,21,1,16,29,22,11360
7,4,4,21,1,16,29,22,11480
7,4,4,21,1,16,29,22,11920
7,4,4,21,1,16,29,22,11980
7,4,4,21,1,16,29,22,11810
7,4,4,21,1,16,29,22,11900
7,4,4,21,1,16,29,22,11630
7,4,4,21,1,16,29,22,11370
7,4,4,21,1,0,29,22,10410
7,4,4,21,1,0,29,22,9630
7,4,4,21,1,0,29,22,9440
7,4,4,21,1,0,29,22,9170
7,4,4,21,1,0,29,22,8790
7,4,4,21,1,0,29,22,8860
7,4,4,21,1,0,29,22,8660
7,4,4,21,1,0,29,22,9210
7,4,4,21,1,0,29,22,9370
7,4,4,21,1,0,29,22,9460
7,4,4,21,1,0,29,22,9340
7,4,4,21,1,0,29,22,9280
7,4,4,21,1,0,29,22,9000
7,4,4,21,1,0,29,22,8710
7,4,4,21,1,0,29,22,8720
7,4,4,21,1,0,29,22,8190
7,4,4,21,1,0,0,22,7890
7,4,4,21,1,0,0,22,7640
7,4,4,21,1,0,0,22,7660
7,4,4,21,1,0,0,22,7390
7,4,4,21,1,0,0,22,7160
7,4,4,21,1,0,0,22,7110
7,4,4,21,1,0,0,22,6860
7,4,4,21,1,0,0,22,6450
7,4,4,21,1,0,0,22,6330
7,4,4,21,1,0,0,22,6270
7,4,4,21,1,0,0,22,6370
7,4,4,21,1,0,0,22,6010
7,4,4,21,1,0,0,22,5770
7,4,4,21,1,0,0,22,5780
7,4,4,21,1,0,0,22,5430
7,4,4,21,1,0,0,22,5690
7,4,4,21,1,0,0,22,5380
7,4,4,21,1,0,0,22,5020
7,4,4,21,1,0,0,22,5210
7,4,4,21,1,0,0,22,4870
7,4,4,21,1,0,0,22,4940
7,4,4,21,1,0,0,22,5090
